       Freq,     Re(Av),     Im(Av),     Re(Ai),     Im(Ai),     Re(Ap),     Im(Ap),    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout)
  3.333e+06, -2.575e-04,  1.695e-03, -1.116e-02, -1.695e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.372e-03,  3.292e+02,  6.372e-03,  3.292e+02,        nan,        nan,        nan,        nan
  3.374e+06, -2.453e-04,  1.635e-03, -1.090e-02, -1.635e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.074e-03,  3.333e+02,  6.074e-03,  3.333e+02,        nan,        nan,        nan,        nan
  3.414e+06, -2.339e-04,  1.578e-03, -1.065e-02, -1.578e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  5.793e-03,  3.373e+02,  5.793e-03,  3.373e+02,        nan,        nan,        nan,        nan
  3.454e+06, -2.232e-04,  1.524e-03, -1.040e-02, -1.524e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  5.529e-03,  3.414e+02,  5.529e-03,  3.414e+02,        nan,        nan,        nan,        nan
  3.494e+06, -2.131e-04,  1.472e-03, -1.017e-02, -1.472e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  5.279e-03,  3.454e+02,  5.279e-03,  3.454e+02,        nan,        nan,        nan,        nan
  3.534e+06, -2.035e-04,  1.422e-03, -9.942e-03, -1.422e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  5.043e-03,  3.495e+02,  5.043e-03,  3.495e+02,        nan,        nan,        nan,        nan
  3.574e+06, -1.944e-04,  1.375e-03, -9.722e-03, -1.375e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.820e-03,  3.535e+02,  4.820e-03,  3.535e+02,        nan,        nan,        nan,        nan
  3.614e+06, -1.859e-04,  1.330e-03, -9.509e-03, -1.329e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.609e-03,  3.576e+02,  4.609e-03,  3.576e+02,        nan,        nan,        nan,        nan
  3.655e+06, -1.778e-04,  1.286e-03, -9.303e-03, -1.286e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.410e-03,  3.616e+02,  4.410e-03,  3.616e+02,        nan,        nan,        nan,        nan
  3.695e+06, -1.702e-04,  1.245e-03, -9.104e-03, -1.245e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.222e-03,  3.657e+02,  4.222e-03,  3.657e+02,        nan,        nan,        nan,        nan
  3.735e+06, -1.630e-04,  1.205e-03, -8.911e-03, -1.205e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.043e-03,  3.697e+02,  4.043e-03,  3.697e+02,        nan,        nan,        nan,        nan
  3.775e+06, -1.561e-04,  1.167e-03, -8.724e-03, -1.167e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.874e-03,  3.738e+02,  3.874e-03,  3.738e+02,        nan,        nan,        nan,        nan
  3.815e+06, -1.496e-04,  1.130e-03, -8.543e-03, -1.130e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.713e-03,  3.778e+02,  3.713e-03,  3.778e+02,        nan,        nan,        nan,        nan
  3.855e+06, -1.434e-04,  1.096e-03, -8.367e-03, -1.095e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.561e-03,  3.819e+02,  3.561e-03,  3.819e+02,        nan,        nan,        nan,        nan
  3.896e+06, -1.376e-04,  1.062e-03, -8.197e-03, -1.062e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.416e-03,  3.859e+02,  3.416e-03,  3.859e+02,        nan,        nan,        nan,        nan
  3.936e+06, -1.320e-04,  1.030e-03, -8.032e-03, -1.030e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.279e-03,  3.900e+02,  3.279e-03,  3.900e+02,        nan,        nan,        nan,        nan
  3.976e+06, -1.268e-04,  9.989e-04, -7.872e-03, -9.989e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.148e-03,  3.940e+02,  3.148e-03,  3.940e+02,        nan,        nan,        nan,        nan
  4.016e+06, -1.217e-04,  9.693e-04, -7.717e-03, -9.692e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.024e-03,  3.981e+02,  3.024e-03,  3.981e+02,        nan,        nan,        nan,        nan
